name,anime_debut,manga_debut,affiliation,origin,aliases,height,bounty,dfname,dftype,haoshoku,kenbunshoku,busoshoku,image
Amazon,238.0,153.0,Wagomuland,Grand Line ,,120.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/96/Amazon_Portrait.png/revision/latest?cb=20190704220143
Alvida,2.0,1.0,Cross Guild,East Blue,Iron Mace,198.0,5000000,Sube Sube no Mi,Paramecia,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/95/Alvida_Portrait.png/revision/latest?cb=20220101044820
Alpacaman,934.0,929.0,Beasts Pirates,,,,0,,Zoan,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/83/Alpacaman_Portrait.png/revision/latest?cb=20200420044110
Amadob,558.0,467.0,Ally of the Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/ee/Amadob_Portrait.png/revision/latest?cb=20200426060623
Alpha,1100.0,,CP8,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f4/Alpha_Portrait.png/revision/latest?cb=20231203151051
Ally,658.0,583.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/0c/Ally_Portrait.png/revision/latest?cb=20150506210030
Chocolat,598.0,517.0,Fake Straw Hat Crew,East Blue,,181.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/1/16/Chocolat_Portrait.png/revision/latest?cb=20141206212132
Caribou,600.0,519.0,Caribou Pirates,North Blue,Wet-Haired Caribou,228.0,210000000,Numa Numa no Mi,Logia,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/6a/Caribou_Portrait.png/revision/latest?cb=20200314092741
Hihimaru,910.0,892.0,Beasts Pirates (defected),,Raging Baboon of the Mountain,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e9/Hihimaru_Portrait.png/revision/latest?cb=20190723130439
Higuma,1.0,4.0,Higuma Bandits,East Blue,,190.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/75/Higuma_Portrait.png/revision/latest?cb=20220828050701
Hidayu,926.0,918.0,Kozuki Family,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/09/Hidayu_Portrait.png/revision/latest?cb=20200119032113
Hibari,1061.0,1090.0,Marines,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/88/Hibari_Portrait.png/revision/latest?cb=20240114125219
Hewitt,223.0,146.0,Bellamy Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/52/Hewitt_Portrait.png/revision/latest?cb=20200622081251
House,1038.0,1067.0,Kid Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f3/House_Portrait.png/revision/latest?cb=20220213222439
Humphrey,598.0,517.0,Sabaody Archipelago,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e5/Humphrey_Portrait.png/revision/latest?cb=20200504032147
Hublot,552.0,461.0,Spade Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/70/Hublot_Portrait.png/revision/latest?cb=20220306113230
Kiku,515.0,409.0,Kuja,,,,0,,,False,False,False,
Kiev,325.0,231.0,Franky Family,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/74/Kiev_Portrait.png/revision/latest?cb=20200629111548
Kibin,594.0,475.0,Marines,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2a/Kibin_Portrait.png/revision/latest?cb=20191007063612
Kibagaeru,306.0,208.0,Foxy Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f2/Kibagaeru_Portrait.png/revision/latest?cb=20181011143953
Keith,809.0,759.0,Guardians,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/dc/Keith_Portrait.png/revision/latest?cb=20190804042230
Kotatsu,552.0,461.0,Spade Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/3/3d/Kotatsu_Portrait.png/revision/latest?cb=20220307022817
Kelly Funk,704.0,633.0,Mogaro Kingdom,Grand Line ,,168.0,57000000,Jake Jake no Mi,Paramecia,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/0c/Kelly_Funk_Portrait.png/revision/latest?cb=20190723220921
Kikipatsu,925.0,917.0,Blackbeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/1/1c/Kikipatsu_Portrait.png/revision/latest?cb=20210628164248
Miss Saturday,155.0,91.0,Baroque Works,,Miss Saturday,,0,,,False,False,False,
Minozebra,533.0,434.0,Impel Down,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/9b/Minozebra_Portrait.png/revision/latest?cb=20200915052449
Miss Friday,105.0,63.0,Baroque Works (former),Grand Line,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/4a/Miss_Friday_Portrait.png/revision/latest?cb=20130626060722
Miss Mother's Day,155.0,91.0,Baroque Works,,Miss Mother's Day,,0,,,False,False,False,
Misery,1039.0,1066.0,Big Mom Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a5/Misery_Portrait.png/revision/latest?cb=20230625052949
Miss Father's Day,205.0,124.0,Baroque Works,,Miss Father's Day,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a8/Miss_Father%27s_Day_Portrait.png/revision/latest?cb=20200307160038
Miss Catherina,106.0,64.0,Baroque Works,East Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/c/c5/Miss_Catherina_Portrait.png/revision/latest?cb=20191229082524
Miss Monday,107.0,64.0,Baroque Works (former),Grand Line,"Miss Monday, Sister",,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/6e/Miss_Monday_Portrait.png/revision/latest?cb=20200705082531
Minotaurus,525.0,422.0,Impel Down,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/43/Minotaurus_Portrait.png/revision/latest?cb=20200915052136
Minoruba,498.0,392.0,Sabaody Archipelago,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/75/Minoruba_Portrait.png/revision/latest?cb=20200504022827
Minorhinoceros,532.0,433.0,Impel Down,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/52/Minorhinoceros_Portrait.png/revision/latest?cb=20200915052323
Minatomo,909.0,892.0,,,,,0,,,False,False,False,
Minokoala,531.0,432.0,Impel Down,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/82/Minokoala_Portrait.png/revision/latest?cb=20200915052227
Minochihuahua,662.0,,Impel Down,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/3/39/Minochihuahua_Portrait.png/revision/latest?cb=20200915052601
Minister of the Right,612.0,531.0,Ryugu Kingdom,Grand Line ,,313.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/af/Minister_of_the_Right_Portrait.png/revision/latest?cb=20191225095650
Minister of the Left,612.0,531.0,Ryugu Kingdom,Grand Line ,,435.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/9d/Minister_of_the_Left_Portrait.png/revision/latest?cb=20180803082149
Mororon,905.0,882.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/56/Mororon_Portrait.png/revision/latest?cb=20220130145052
Mornin,23.0,,,East Blue ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f2/Mornin_Portrait.png/revision/latest?cb=20190725111617
Morgans,860.0,828.0,World Economy News Paper,Grand Line,Big News,305.0,0,"Tori Tori no Mi, Model: Albatross",Zoan,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/26/Morgans_Portrait.png/revision/latest?cb=20190806085952
Morgan,4.0,2.0,"Marines (153rd Branch) (former, defected)",,Axe-Hand Morgan,285.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/01/Morgan_Portrait.png/revision/latest?cb=20200112095400
Moqueca,906.0,884.0,Levely,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/d8/Moqueca_Portrait.png/revision/latest?cb=20190516234934
Moon Isaac Jr.,966.0,969.0,Roger Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/0e/Moon_Isaac_Jr._Portrait.png/revision/latest?cb=20210411032437
Motobaro,494.0,388.0,Rosy Life Riders,Grand Line ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e4/Motobaro_Portrait.png/revision/latest?cb=20140710123306
Morley,904.0,880.0,Revolutionary Army (West Army),West Blue,Morley of Fur,1253.0,293000000,Oshi Oshi no Mi,Paramecia,False,False,True,https://static.wikia.nocookie.net/onepiece/images/f/f1/Morley_Portrait.png/revision/latest?cb=20190516212748
Nangi,988.0,997.0,Beasts Pirates (Numbers),,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e4/Nangi_Portrait.png/revision/latest?cb=20211031042409
Natto,164.0,100.0,Suna Suna Clan,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/d8/Natto_Portrait.png/revision/latest?cb=20200112075257
Napoleon,651.0,571.0,Big Mom Pirates,,Napoleon the Bicorne,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/af/Napoleon_Portrait.png/revision/latest?cb=20170514222518
Nashi,906.0,884.0,Levely,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/ff/Nashi_Portrait.png/revision/latest?cb=20210702165018
Namur,552.0,461.0,Whitebeard Pirates,Grand Line,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/08/Namur_Portrait.png/revision/latest?cb=20191214034214
Nami,8.0,1.0,Straw Hat Pirates,East Blue ,"Namizo,Cat Burglar",170.0,366000000,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/26/Nami_Portrait.png/revision/latest?cb=20211209030803
Nako,77.0,32.0,,East Blue ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a4/Nako_Portrait.png/revision/latest?cb=20180811193047
Muret,223.0,146.0,Bellamy Pirates (former),,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/aa/Muret_Portrait.png/revision/latest?cb=20200622080946
Pavlik,553.0,477.0,Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e9/Pavlik_Portrait.png/revision/latest?cb=20200426055516
Pomp,1029.0,1054.0,Kid Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/53/Pomp_Portrait.png/revision/latest?cb=20231020192456
Peachbeard,904.0,880.0,Peachbeard Pirates,,,,52000000,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/67/Peachbeard_Portrait.png/revision/latest?cb=20200509114432
Peepley Lulu,323.0,230.0,Galley-La Company,Grand Line ,,206.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/1/1c/Peepley_Lulu_Portrait.png/revision/latest?cb=20200629103122
Pascia,501.0,394.0,,South Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/47/Pascia_Portrait.png/revision/latest?cb=20200504031817
Pearl,54.0,25.0,Krieg Pirates,East Blue,Pearl the Iron Wall,239.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/05/Pearl_Portrait.png/revision/latest?cb=20190819122431
Paulie,323.0,230.0,Galley-La Company,Grand Line ,,195.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2a/Paulie_Portrait.png/revision/latest?cb=20200629102834
Patty,44.0,21.0,Baratie,East Blue,,204.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/98/Patty_Portrait.png/revision/latest?cb=20200112104210
Saikoro,915.0,901.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f1/Saikoro_Portrait.png/revision/latest?cb=20210628122441
Robson,135.0,81.0,Drum Kingdom (former),,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/d1/Robson_Portrait.png/revision/latest?cb=20200122092454
Saki,940.0,937.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e2/Saki_Portrait.png/revision/latest?cb=20200817022947
Sakazuki,397.0,278.0,Marines,North Blue,Akainu,306.0,0,Magu Magu no Mi,Logia,False,False,True,https://static.wikia.nocookie.net/onepiece/images/4/4a/Sakazuki_Portrait.png/revision/latest?cb=20240407110644
Sai,704.0,632.0,Happo Navy,West Blue ,Don Sai,242.0,210000000,,,False,True,True,https://static.wikia.nocookie.net/onepiece/images/b/b0/Sai_Portrait.png/revision/latest?cb=20200426052250
Sadi,531.0,432.0,Impel Down,Grand Line,,183.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/7c/Sadi_Portrait.png/revision/latest?cb=20200531232442
Sabo,583.0,494.0,Revolutionary Army,East Blue ,"Lucy,Flame Emperor",187.0,602000000,Mera Mera no Mi,Logia,False,False,True,https://static.wikia.nocookie.net/onepiece/images/2/2e/Sabo_Portrait.png/revision/latest?cb=20201008005440
Saber,552.0,461.0,Spade Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e5/Saber_Portrait.png/revision/latest?cb=20190813035522
Smooge,668.0,592.0,Caesar Clown,,"Rebar"" Smooge",,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/94/Smooge_Portrait.png/revision/latest?cb=20190725112146
Sind,657.0,582.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f8/Sind_Portrait.png/revision/latest?cb=20181229013704
Sleepy,,,Ally of the Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a7/Sleepy_Portrait.png/revision/latest?cb=20200426062251
Rocks Pirates,957.0,958.0,,,,,0,,,False,False,False,
Skull,552.0,461.0,"Spade Pirates, Whitebeard Pirates",,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2b/Skull_Portrait.png/revision/latest?cb=20220307022339
Smiley,668.0,594.0,Caesar Clown,,,,0,"Sara Sara no Mi, Model: Axolotl",Zoan,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/77/Smiley_Portrait.png/revision/latest?cb=20150506210157
Smoker,97.0,48.0,Marines,Grand Line,"Smoker the White Hunter,White Chase Smoker,Smoke Hunter",209.0,0,Moku Moku no Mi,Logia,False,False,True,https://static.wikia.nocookie.net/onepiece/images/7/70/Smoker_Portrait.png/revision/latest?cb=20190828215500
Sicily,504.0,,Marines,South Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/c/c9/Sicily_Portrait.png/revision/latest?cb=20181224030931
Silvers Rayleigh,19.0,8.0,Roger Pirates (former),,"Right Hand of the Pirate King,Dark King",188.0,0,,,True,False,True,https://static.wikia.nocookie.net/onepiece/images/7/7b/Silvers_Rayleigh_Portrait.png/revision/latest?cb=20200504014730
Shyarly,610.0,529.0,Mermaid Cafe,Grand Line ,Madam Shyarly,520.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/67/Shyarly_Portrait.png/revision/latest?cb=20190517042242
Terracotta,213.0,128.0,Arabasta Kingdom,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/fb/Terracotta_Portrait.png/revision/latest?cb=20200112072721
Shu,426.0,309.0,Marines,,,,0,Sabi Sabi no Mi,Paramecia,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/08/Shu_Portrait.png/revision/latest?cb=20191007063859
Tabuhachiro,920.0,911.0,Kozuki Family,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/43/Tabuhachiro_Portrait.png/revision/latest?cb=20200709034858
T Bone,365.0,255.0,Marines,Grand Line,Ship Cutter,200.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2d/T_Bone_Portrait.png/revision/latest?cb=20230508082146
Shura,241.0,155.0,God's Army,Sky Islands ,Sky Rider,191.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/5a/Shura_Portrait.png/revision/latest?cb=20210418224220
Sweet Pea,514.0,408.0,Kuja,Calm Belt ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/92/Sweet_Pea_Portrait.png/revision/latest?cb=20190725090048
Shoujou,226.0,147.0,Saruyama Alliance (Shoujou Pirates),South Blue,"Sonar King"" Shoujou",351.0,36000000,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/74/Shoujou_Portrait.png/revision/latest?cb=20200508222530
Uhho,743.0,677.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/c/c5/Uhho_Portrait.png/revision/latest?cb=20190723223549
Turco,598.0,517.0,Fake Straw Hat Crew,East Blue,,258.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/dd/Turco_Portrait.png/revision/latest?cb=20200112121959
Tyrannosaurus,323.0,230.0,Iceburg,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/3/30/Tyrannosaurus_Portrait.png/revision/latest?cb=20200629102657
Usagihebi,22.0,18.0,Animals of the Island of Rare Animals,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/67/Usagihebi_Portrait.png/revision/latest?cb=20200112101219
Ucy,706.0,639.0,Corrida Colosseum,,Brutal Bull,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/8e/Ucy_Portrait.png/revision/latest?cb=20190723220435
Ubau,292.0,189.0,,Skypiea,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/5e/Ubau_Portrait.png/revision/latest?cb=20190404104645
Urban,1089.0,,Marines,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/6a/Urban_Portrait.png/revision/latest?cb=20230806160438
Urouge,498.0,392.0,Fallen Monk Pirates,Sky Island,Mad Monk,388.0,108000000,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/c/c7/Urouge_Portrait.png/revision/latest?cb=20200420051240
Yuki,129.0,78.0,,Grand Line,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/4b/Yuki_Portrait.png/revision/latest?cb=20220609192904
Yui,966.0,966.0,Roger Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2d/Yui_Portrait.png/revision/latest?cb=20210321035323
Yu,98.0,48.0,,East Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/e5/Yu_Portrait.png/revision/latest?cb=20130916190558
Yotsubane,269.0,176.0,Shandia,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/b/b8/Yotsubane_Portrait.png/revision/latest?cb=20190517051841
Yoshimoto,157.0,94.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/78/Yoshimoto_Portrait.png/revision/latest?cb=20200112081330
Yorki,103.0,63.0,Rumbar Pirates,,"Calico"" Yorki",,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/44/Yorki_Portrait.png/revision/latest?cb=20200420083734
York,1065.0,1095.0,Marines (SSG)World Government,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a5/York_Portrait.png/revision/latest?cb=20240225033037
Yosaku,42.0,20.0,Johnny,East Blue,,185.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/53/Yosaku_Portrait.png/revision/latest?cb=20141206191442
Zunesha,802.0,751.0,,Grand Line,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/5b/Zunesha_Portrait.png/revision/latest?cb=20240215121604
Zucca,564.0,489.0,Ally of the Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/c/c2/Zucca_Portrait.png/revision/latest?cb=20200426061139
Zotto,533.0,434.0,Marines G-1 Branch,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f4/Zotto_Portrait.png/revision/latest?cb=20190502023947
Zodia,553.0,462.0,Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/54/Zodia_Portrait.png/revision/latest?cb=20190823033331
Zepo,850.0,816.0,Nox Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/57/Zepo_Portrait.png/revision/latest?cb=20171203032524
Zeo,611.0,530.0,New Fish-Man Pirates,Grand Line ,Noble of the Fish-Man District,325.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/b/b8/Zeo_Portrait.png/revision/latest?cb=20180803070708
Zeff,43.0,20.0,Baratie,East Blue,Red-Leg Zeff,189.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f4/Zeff_Portrait.png/revision/latest?cb=20230617083724
Zeus,827.0,786.0,Straw Hat Pirates,Grand Line,Zeus the Thundercloud,232.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/6/68/Zeus_Portrait.png/revision/latest?cb=20220601235901
Zanki,991.0,1055.0,Beasts Pirates (Numbers),,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/0f/Zanki_Portrait.png/revision/latest?cb=20230326131054
Zadie,391.0,275.0,Ohara Archaeologists,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f1/Zadie_Portrait.png/revision/latest?cb=20200420074456
Zambai,324.0,230.0,Franky Family,Grand Line ,,227.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a8/Zambai_Portrait.png/revision/latest?cb=20200629111919
Zabo,241.0,155.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/4/44/Zabo_Portrait.png/revision/latest?cb=20191229104654
Zala,155.0,103.0,New Spiders Cafe,Grand Line,"Miss Doublefinger,Poison Spider Zala",187.0,35000000,Toge Toge no Mi,Paramecia,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a8/Zala_Portrait.png/revision/latest?cb=20220201025754
Yokan,915.0,902.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/2c/Yokan_Portrait.png/revision/latest?cb=20210710114358
Yarisugi,673.0,599.0,Marines,,,220.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/82/Yarisugi_Portrait.png/revision/latest?cb=20191007063411
Yatappe,952.0,946.0,,,Snake-Eyes Yatappe,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/8b/Yatappe_Portrait.png/revision/latest?cb=20220719220811
Yazaemon,931.0,925.0,Beasts Pirates,Wano Country,,180.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/3/3b/Yazaemon_Portrait.png/revision/latest?cb=20200329054624
Yurikah,151.0,,Tulip Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/1/13/Yurikah_Portrait.png/revision/latest?cb=20200622070329
Yomo,806.0,755.0,Mokomo Dukedom (Inuarashi Musketeer Squad),,Pastor Yomo,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/af/Yomo_Portrait.png/revision/latest?cb=20191018132536
Yokozuna,322.0,228.0,Tom's Workers (former),,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/3/3a/Yokozuna_Portrait.png/revision/latest?cb=20200629110635
Yasopp,1.0,4.0,Red Hair Pirates,East Blue ,Chaser,183.0,0,,,False,True,False,https://static.wikia.nocookie.net/onepiece/images/3/3c/Yasopp_Portrait.png/revision/latest?cb=20231030082622
Yamon,,966.0,Roger Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/83/Yamon_Portrait.png/revision/latest?cb=20200407085315
Yamakaji,420.0,302.0,Marines,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/7e/Yamakaji_Portrait.png/revision/latest?cb=20191007062153
Yama,254.0,167.0,Enel (former),Sky Islands ,,366.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/2/23/Yama_Portrait.png/revision/latest?cb=20190430233007
Yame,917.0,904.0,,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/7/74/Yame_Portrait.png/revision/latest?cb=20211213183102
Yamato,971.0,972.0,Ninja-Pirate-Mink-Samurai Alliance (disbanded),,"Kozuki Oden,Oni Princess",263.0,0,"Inu Inu no Mi, Model: Okuchi no Makami",Zoan,True,False,True,https://static.wikia.nocookie.net/onepiece/images/e/ea/Yamato_Portrait.png/revision/latest?cb=20220925144910
X Drake,498.0,392.0,Marines,North Blue,"Dory,Red Flag",233.0,222000000,"Ryu Ryu no Mi, Model: Allosaurus",Zoan,False,False,True,https://static.wikia.nocookie.net/onepiece/images/5/5c/X_Drake_Portrait.png/revision/latest?cb=20211205135046
Wyper,237.0,153.0,Shandia,Sky Islands ,Berserker,183.0,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/57/Wyper_Portrait.png/revision/latest?cb=20210612103328
Woop Slap,1.0,4.0,Foosha Village,East Blue ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/b/b0/Woop_Slap_Portrait.png/revision/latest?cb=20200112085942
Wire,500.0,394.0,Kid Pirates,South Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/5/5a/Wire_Portrait.png/revision/latest?cb=20190121213442
Yamenahare,436.0,,Marumieta,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/1/13/Yamenahare_Portrait.png/revision/latest?cb=20130917025339
Wicca,705.0,635.0,Tontatta Tribe Scouting UnitStraw Hat Grand Fleet,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/8/8c/Wicca_Portrait.png/revision/latest?cb=20190721121009
